query,category,expected,top1_score,top2_score,top3_score,top1_title,top1_place,top1_doc,verdict
how much is Twin Rock Beach Resort entrance fee,budget,perfect,0.8654,0.7751,0.7287,Twin Rock Beach Resort Day Tour Fees,Twin Rock Beach Resort,Twin Rock Beach Resort entrance fee for day tour.,HIGH
how much is maribina falls entrance,budget,perfect,0.8074,0.728,0.728,Maribina Falls Entrance and Cottage Fees,Maribina Falls,Maribina Falls entrance fee and parking.,HIGH
how much is habal-habal hire in virac,budget,partial,0.4247,0.4176,0.404,Virac Public Market Location,Virac Public Market,Where is Virac Public Market?,VERY_LOW
cost of visiting tuwad-tuwadan blue lagoon,budget,perfect,0.8399,0.7089,0.7089,Tuwad-Tuwadan Blue Lagoon Fees,Tuwad-Tuwadan Blue Lagoon,How much to enter Tuwad-Tuwadan Blue Lagoon?,HIGH
price of guided tour binurong point,budget,perfect,0.7689,0.7114,0.6873,Binurong Point Fees and Guides,Binurong Point,How much does it cost to go to Binurong Point? What are the fees?,MEDIUM
how much is the boat to palumbanes island,budget,perfect,0.8484,0.6887,0.6887,Palumbanes Island Boat Rental Costs,Palumbanes Island,How much is the boat going to Palumbanes Island?,HIGH
is there grab in catanduanes,logistics,perfect,0.8259,0.532,0.5309,Is There Grab or Angkas in Catanduanes,Virac Town Center,Is there Grab or Angkas in Catanduanes?,HIGH
what time is the last ferry from catanduanes,logistics,perfect,0.8384,0.6325,0.6137,Last Ferry Virac to Tabaco Schedule,Virac Town Center,What is the last ferry from Catanduanes back to Tabaco?,HIGH
is the tap water safe to drink,logistics,perfect,0.8912,0.3997,0.3063,Is Tap Water Safe in Catanduanes,Virac Town Center,Is the tap water safe to drink in Catanduanes?,HIGH
are there jellyfish in catanduanes beaches,logistics,perfect,0.8641,0.86,0.6586,Jellyfish Risk and Season at Catanduanes Beaches,Twin Rock Beach Resort,Are there jellyfish at Catanduanes beaches? When is jellyfish season?,HIGH
how do i get from virac to puraran beach,transport,perfect,0.9834,0.9113,0.7284,How to Get to Puraran Beach,Puraran Beach,How do I get from Virac to Puraran Beach?,HIGH
how do i get to catanduanes from manila,transport,perfect,0.9852,0.8703,0.7695,Getting to Catanduanes,Virac Airport,How do I get to Catanduanes from Manila?,HIGH
is there mobile signal in baras catanduanes,logistics,perfect,0.7617,0.4664,0.4664,Mobile Signal and Internet in Catanduanes,Virac Town Center,Is there mobile signal in Catanduanes? Which network is best?,MEDIUM
what to do if my flight gets cancelled,logistics,perfect,0.6131,0.3949,0.372,What to Do If Stranded in Catanduanes,Virac Town Center,What if I miss the last ferry or my flight gets cancelled in Catanduanes?,LOW
is it safe to swim at puraran beach,safety,perfect,0.9884,0.7471,0.7409,Is Puraran Beach Safe for Swimming,Puraran Beach,Is it safe to swim at Puraran Beach?,HIGH
emergency numbers catanduanes,safety,perfect,0.9251,0.5632,0.4349,Emergency Contact Numbers Catanduanes,Virac Town Center,What are emergency numbers in Catanduanes?,HIGH
what is catanduanes known for,general,perfect,0.9114,0.7053,0.6517,Catanduanes Overview,,What is Catanduanes known for?,HIGH
best time to visit catanduanes,general,perfect,0.9446,0.8804,0.7042,Best Time to Visit Catanduanes,Puraran Beach,What is the best time to visit Catanduanes?,HIGH
is catanduanes safe for tourists,general,perfect,0.9679,0.7287,0.7216,Safety for Tourists,,Is Catanduanes safe for tourists?,HIGH
things to do in catanduanes,general,perfect,0.7702,0.7649,0.7174,Family Friendly Activities for Kids,Maribina Falls,Are there activities for kids in Catanduanes? Family friendly spots.,MEDIUM
one day itinerary catanduanes,general,perfect,0.9629,0.9076,0.6383,One Day Itinerary Catanduanes,Binurong Point,One day itinerary in Catanduanes,HIGH
what language do they speak in catanduanes,general,perfect,0.8114,0.7099,0.6979,Local Language,,What language do people speak in Catanduanes?,HIGH
how much is the room rate at e-crown hotel,edge_no_answer,none,0.677,0.677,0.6634,E-Crown Hotel Location,E-Crown Hotel and Resort,Where is E-Crown Hotel and Resort located?,MEDIUM
does puraran beach have wifi,edge_no_answer,none,0.6868,0.6746,0.6426,Pacific Surfers WiFi,,Does Pacific Surfers Paradise Resort offer WiFi?,MEDIUM
what is the phone number of twin rock resort,edge_no_answer,none,0.7702,0.7702,0.7683,Twin Rock Resort Location,Twin Rock Beach Resort,Where is Twin Rock Beach Resort?,MEDIUM
is there a doctor at binurong point,edge_no_answer,none,0.6379,0.6379,0.6074,Binurong Point Location,Binurong Point,Where is Binurong Point?,LOW
can i bring my pet dog to mamangal beach,edge_no_answer,none,0.5529,0.485,0.4665,Activities at Mamangal Beach,,What can I do in Mamangal Beach?,LOW
what is the room number of the manager at lumber,edge_no_answer,none,0.5183,0.5183,0.3915,The Lumber Amenities,The Lumber Hotel and Resort,What amenities does The Lumber Hotel and Resort offer?,LOW
how to go to puraran,alias,perfect,0.6605,0.6333,0.5869,How to Get to Puraran Beach,Puraran Beach,How do I get from Virac to Puraran Beach?,MEDIUM
majestic surf spot catanduanes,alias,perfect,0.7866,0.7866,0.6213,Puraran Beach Surfing,Puraran Beach,Where can I surf in Catanduanes?,MEDIUM
e-crown hotel virac,alias,perfect,0.7953,0.7953,0.6982,E-Crown Hotel Location,E-Crown Hotel and Resort,Where is E-Crown Hotel and Resort located?,MEDIUM
bato church catanduanes,alias,perfect,0.8439,0.6125,0.6005,Bato Church Overview,,Where is Bato Church?,HIGH
fertility island catanduanes,alias,partial,0.6481,0.6068,0.5635,Catanduanes Location,,Where is Catanduanes located?,LOW
